,average,,,,,,
10000,0.0002952040813,0.000286122449,0.0002959183673,0.0002748979592,0.0003024489796,0.0002640816327,0.0003477551
9900,0.0002848299378,0.000277755102,0.0002924489796,0.0002648979592,0.0002812244898,0.0002644897959,0.0003281633
9800,0.0002813265388,0.0002742857143,0.0002769387755,0.000257755102,0.0002840816327,0.0002610204082,0.0003338776
9700,0.0002858503435,0.0002693877551,0.0002902040816,0.0002536734694,0.0002983673469,0.0002510204082,0.000352449
9600,0.0002828231357,0.0002593877551,0.0002685714286,0.0002485714286,0.0002969387755,0.0002508163265,0.0003726531
9500,0.0002783673418,0.0002651020408,0.0002636734694,0.0002508163265,0.0002691836735,0.0002551020408,0.0003663265
9400,0.0002999659942,0.0002863265306,0.0002908163265,0.0002710204082,0.0002979591837,0.0002720408163,0.0003816327
9300,0.0003090136119,0.0002885714286,0.000286122449,0.0002704081633,0.0003146938776,0.0002716326531,0.0004226531
9200,0.0002212925241,0.0002263265306,0.0002259183673,0.00021,0.0002295918367,0.0002087755102,0.0002271429
9100,0.000212687068,0.0002102040816,0.0002095918367,0.0001971428571,0.0002187755102,0.0001953061224,0.000245102
9000,0.0002188095156,0.0002118367347,0.0002018367347,0.0001951020408,0.0002071428571,0.0001908163265,0.0003061224
8900,0.000207551018,0.0002008163265,0.000202244898,0.0001889795918,0.0002257142857,0.0001932653061,0.0002342857
8800,0.0002169047684,0.0002030612245,0.0002163265306,0.000197755102,0.0002255102041,0.000196122449,0.0002626531
8700,0.0002796258476,0.000272244898,0.0002844897959,0.0002595918367,0.0002785714286,0.0002608163265,0.0003220408
8600,0.0003115306119,0.0003030612245,0.0003110204082,0.0002859183673,0.0003236734694,0.000287755102,0.0003577551
8500,0.0003099319769,0.0002993877551,0.0003018367347,0.000286122449,0.0003302040816,0.0002851020408,0.0003569388
8400,0.0002302721092,0.0002175510204,0.0002244897959,0.0002089795918,0.0002587755102,0.0002095918367,0.0002622449
8300,0.000205680267,0.0001967346939,0.000197755102,0.0001842857143,0.0002328571429,0.000186122449,0.0002363265
8200,0.0001940136099,0.0001904081633,0.0001914285714,0.0001783673469,0.0001951020408,0.0001895918367,0.0002191837
8100,0.0001783673541,0.0001863265306,0.0001804081633,0.0001665306122,0.0001779591837,0.0001818367347,0.0001771429
8000,0.0001773809568,0.0001759183673,0.0001720408163,0.0001665306122,0.0001828571429,0.000157755102,0.0002091837
7900,0.0001754421779,0.0001765306122,0.0001724489796,0.0001657142857,0.000177755102,0.0001634693878,0.0001967347
7800,0.0001691836677,0.0001630612245,0.0001704081633,0.0001546938776,0.0001724489796,0.0001526530612,0.0002018367
7700,0.0001692857224,0.0001659183673,0.0001675510204,0.0001548979592,0.0001885714286,0.0001548979592,0.0001838776
7600,0.0001567006803,0.0001626530612,0.0001657142857,0.0001432653061,0.0001653061224,0.0001432653061,0.00016
7500,0.0001605442112,0.0001569387755,0.0001636734694,0.0001475510204,0.0001608163265,0.0001469387755,0.0001873469
7400,0.0001652040789,0.0001555102041,0.0001681632653,0.0001455102041,0.0001595918367,0.0001704081633,0.0001920408
7300,0.0001548299316,0.0001485714286,0.0001506122449,0.000142244898,0.0001540816327,0.0001557142857,0.0001777551
7200,0.0001532312997,0.0001444897959,0.0001618367347,0.0001404081633,0.0001589795918,0.0001365306122,0.0001771429
7100,0.0001501700656,0.0001406122449,0.0001597959184,0.0001334693878,0.0001559183673,0.0001369387755,0.0001742857
7000,0.0001487414997,0.0001412244898,0.0001432653061,0.0001342857143,0.0001583673469,0.0001351020408,0.0001802041
6900,0.0001480612299,0.0001434693878,0.0001463265306,0.0001281632653,0.0001597959184,0.0001346938776,0.0001759184
6800,0.0001418367306,0.0001402040816,0.00014,0.0001320408163,0.0001444897959,0.0001312244898,0.0001630612
6700,0.0001425850293,0.0001359183673,0.0001381632653,0.0001269387755,0.0001526530612,0.0001332653061,0.0001685714
6600,0.0001355102048,0.0001326530612,0.0001318367347,0.0001210204082,0.0001357142857,0.0001273469388,0.0001644898
6500,0.0001294557861,0.0001285714286,0.0001287755102,0.0001173469388,0.000132244898,0.0001151020408,0.0001546939
6400,0.0001232993116,0.0001230612245,0.0001220408163,0.0001144897959,0.0001302040816,0.000113877551,0.0001361224
6300,0.0001240136034,0.0001230612245,0.0001251020408,0.0001128571429,0.0001334693878,0.0001130612245,0.0001365306
6200,0.0001236394636,0.0001216326531,0.0001197959184,0.00011,0.0001275510204,0.0001112244898,0.0001516327
6100,0.0001140816371,0.0001175510204,0.0001153061224,0.0001095918367,0.0001144897959,0.0001083673469,0.0001191837
6000,0.0001204421745,0.0001193877551,0.0001220408163,0.0001059183673,0.0001240816327,0.0001069387755,0.0001442857
5900,0.0001249319762,0.0001434693878,0.000117755102,0.0001030612245,0.0001351020408,0.000107755102,0.000142449
5800,0.0001153061231,0.0001316326531,0.00011,0.000103877551,0.0001151020408,0.0001067346939,0.0001244898
5700,0.0001161564544,0.000116122449,0.0001108163265,0.0001036734694,0.0001285714286,0.0001016326531,0.0001361224
5600,0.0001088775568,0.0001071428571,0.0001065306122,0.0001018367347,0.0001071428571,0.0001024489796,0.0001281633
5500,0.0001113265316,0.0001097959184,0.0001118367347,9.61E-05,0.0001275510204,9.59E-05,0.0001267347
5400,0.0001074489741,0.0001010204082,0.0001051020408,9.67E-05,0.0001197959184,9.80E-05,0.0001240816
