,average,,,,,
10000,0.01771963265,0.01785693878,0.01750836735,0.01783020408,0.01751571429,0.01788693878
9900,0.017364,0.01749938776,0.01716081633,0.01745408163,0.01717714286,0.01752857143
9800,0.01701061224,0.01716285714,0.01681183673,0.01707938776,0.0168177551,0.01718122449
9700,0.01667155102,0.01681612245,0.01647244898,0.01675632653,0.01647897959,0.01683387755
9600,0.01633122449,0.01647265306,0.01613734694,0.01641387755,0.01614020408,0.01649204082
9500,0.015982,0.01612836735,0.01580489796,0.01601877551,0.01580469388,0.01615326531
9400,0.01567061224,0.01579326531,0.01546938776,0.01579265306,0.01547387755,0.01582387755
9300,0.01533155102,0.01546306122,0.01514755102,0.01540816327,0.01515183673,0.01548714286
9200,0.01501057143,0.01514204082,0.01481591837,0.01512102041,0.01482142857,0.01515244898
9100,0.01469783673,0.01481530612,0.01449795918,0.01484428571,0.01450306122,0.01482857143
9000,0.01437665306,0.01450306122,0.01417734694,0.01450897959,0.01418510204,0.01450877551
8900,0.01407673469,0.01416040816,0.01387571429,0.01426877551,0.01388510204,0.01419367347
8800,0.01378285714,0.01402489796,0.01355428571,0.01388306122,0.01356244898,0.01388959184
8700,0.0134657551,0.01370795918,0.01325755102,0.01354244898,0.01325816327,0.01356265306
8600,0.01314379592,0.01330183673,0.01294938776,0.01326510204,0.01295142857,0.01325122449
8500,0.01283906122,0.01297836735,0.01265734694,0.01295306122,0.01265714286,0.01294938776
8400,0.01252085714,0.01263,0.01235816327,0.01259755102,0.01236326531,0.01265530612
8300,0.01222608163,0.01232510204,0.01206346939,0.01233326531,0.0120644898,0.01234408163
8200,0.01193183673,0.01202857143,0.01177734694,0.01201734694,0.01177979592,0.01205612245
8100,0.01165820408,0.01173632653,0.01148897959,0.01180857143,0.01149530612,0.01176183673
8000,0.01134632653,0.01144530612,0.01120795918,0.01139530612,0.01121530612,0.0114677551
7900,0.01108759184,0.01116571429,0.01092836735,0.01122183673,0.01093714286,0.01118489796
7800,0.01081461224,0.01087938776,0.01065326531,0.01096755102,0.0106644898,0.01090836735
7700,0.01053012245,0.01060489796,0.0103855102,0.01063755102,0.01038673469,0.01063591837
7600,0.01027240816,0.0103344898,0.01012244898,0.01042163265,0.01012469388,0.01035877551
7500,0.009994285714,0.01005897959,0.009858571429,0.01011265306,0.009854897959,0.01008632653
7400,0.009730816327,0.009797755102,0.009597755102,0.00984244898,0.009596122449,0.00982
7300,0.009478938776,0.009536938776,0.009340816327,0.009619795918,0.009341836735,0.009555306122
7200,0.009201510204,0.009281020408,0.009085102041,0.009261428571,0.009081632653,0.009298367347
7100,0.008958816327,0.009025918367,0.008832857143,0.009058571429,0.008833673469,0.009043061224
7000,0.008721183673,0.008755918367,0.008639795918,0.008830204082,0.00858755102,0.00879244898
6900,0.008472897959,0.008508367347,0.00844877551,0.008514081633,0.008349591837,0.008543673469
6800,0.008220693878,0.00826755102,0.008193673469,0.008238979592,0.008103877551,0.008299387755
6700,0.007986326531,0.008025306122,0.007986530612,0.007987755102,0.007874693878,0.008057346939
6600,0.007731306122,0.00778877551,0.007650204082,0.00776122449,0.007636734694,0.007819591837
6500,0.00751244898,0.007554897959,0.007459183673,0.007550204082,0.007409591837,0.007588367347
6400,0.007294122449,0.00732877551,0.007188163265,0.007332244898,0.007185306122,0.007436122449
6300,0.007067591837,0.007102653061,0.006972040816,0.007159387755,0.006964897959,0.007138979592
6200,0.006830571429,0.006880612245,0.006757959184,0.006862040816,0.006745918367,0.006906326531
6100,0.006616693878,0.006661428571,0.006538979592,0.006660408163,0.00653244898,0.006690204082
