,average,,,,,,,,,
10000,0.01392538265,0.01562571429,0.01562142857,,0.01397204082,0.01562306122,0.009642857143,0.01566734694,0.009695306122,0.0155553061
9900,0.01362369897,0.01527530612,0.0152777551,,0.01366510204,0.01528408163,0.00946755102,0.0152955102,0.009476938776,0.0152473469
9800,0.01336255102,0.01499061224,0.01499204082,,0.01339714286,0.01499918367,0.009265714286,0.01500714286,0.009298979592,0.0149495918
9700,0.01307066327,0.0146544898,0.01466469388,,0.01310816327,0.01466408163,0.009055102041,0.01466387755,0.009114693878,0.0146402041
9600,0.01281923469,0.0143677551,0.01438204082,,0.01284306122,0.01437163265,0.008915102041,0.01436755102,0.008920612245,0.0143861224
9500,0.01256385204,0.01409122449,0.01409714286,,0.01258387755,0.01408469388,0.008743469388,0.01408367347,0.008767142857,0.0140595918
9400,0.01230163265,0.01381,0.01380673469,,0.01233755102,0.01380469388,0.008530204082,0.01380795918,0.008534081633,0.0137818367
9300,0.01203063775,0.01349367347,0.01349387755,,0.01205857143,0.01348959184,0.008332857143,0.01348918367,0.008426734694,0.0134606122
9200,0.01175163266,0.01318061224,0.01318489796,,0.01181530612,0.01319428571,0.008141428571,0.0131955102,0.008152857143,0.0131481633
9100,0.01151063776,0.01291204082,0.01290959184,,0.01154142857,0.01291183673,0.008028367347,0.01290816327,0.008002244898,0.0128714286
9000,0.01123545918,0.01259061224,0.01258530612,,0.01128244898,0.0126077551,0.007836326531,0.01260081633,0.007822040816,0.0125583673
8900,0.01099114796,0.01231102041,0.01231959184,,0.01101,0.01231857143,0.007676938776,0.01232142857,0.007691632653,0.01228
8800,0.01074086735,0.01204510204,0.01204959184,,0.01078428571,0.01205836735,0.007463877551,0.01206367347,0.007447142857,0.012014898
8700,0.01050221939,0.01176489796,0.0117644898,,0.01053408163,0.01177408163,0.007282857143,0.01185387755,0.007298571429,0.011744898
8600,0.01028579082,0.01151469388,0.01151326531,,0.01031734694,0.01151612245,0.007213469388,0.01152081633,0.007220612245,0.01147
8500,0.0100322449,0.0112322449,0.01123489796,,0.01005673469,0.01124040816,0.007004489796,0.01124612245,0.007038571429,0.0112044898
8400,0.009807168363,0.01096632653,0.0109677551,,0.009823469388,0.01097959184,0.006856326531,0.01097040816,0.006859387755,0.0110340816
